1,42,black,80,white,39,black,45,white,70,black
2,70,black,46,white,22,black,13,white,66,black
3,33,black,26,white,47,black,76,white,48,black
4,29,black,2,white,21,black,36,white,31,black
5,2,black,6,white,29,black,25,white,79,black
6,79,black,70,white,1,black,15,white,35,black
7,70,black,8,white,23,black,74,white,47,black
8,77,black,77,white,22,black,46,white,25,black
9,69,black,64,white,42,black,28,white,54,black
10,6,black,29,white,27,black,54,white,50,black
11,20,black,74,white,21,black,72,white,27,black
12,20,black,54,white,16,black,65,white,30,black
13,9,black,6,white,74,black,19,white,25,black
14,21,black,6,white,1,black,10,white,71,black
15,63,black,18,white,71,black,42,white,32,black
16,66,black,68,white,39,black,42,white,51,black
17,59,black,18,white,27,black,75,white,35,black
18,64,black,76,white,20,black,63,white,26,black
19,7,black,71,white,32,black,30,white,24,black
20,29,black,49,white,76,black,72,white,21,black
21,70,black,81,white,39,black,20,white,55,black
22,18,black,52,white,32,black,14,white,9,black
23,9,black,2,white,4,black,50,white,20,black
24,75,black,55,white,77,black,81,white,49,black
25,15,black,68,white,68,black,71,white,12,black
26,66,black,80,white,28,black,44,white,3,black
27,3,black,70,white,69,black,43,white,23,black
28,53,black,45,white,42,black,28,white,75,black
29,28,black,9,white,9,black,65,white,20,black
30,69,black,33,white,59,black,80,white,80,black
31,18,black,13,white,53,black,62,white,19,black
32,2,black,81,white,60,black,10,white,32,black
33,24,black,54,white,21,black,29,white,31,black
34,10,black,39,white,57,black,76,white,18,black
35,4,black,34,white,76,black,13,white,15,black
36,37,black,71,white,41,black,53,white,59,black
37,42,black,55,white,6,black,56,white,69,black
38,57,black,37,white,48,black,65,white,58,black
39,50,black,59,white,40,black,56,white,57,black
40,7,black,54,white,5,black,33,white,77,black
41,11,black,74,white,37,black,4,white,67,black
42,37,black,58,white,19,black,44,white,28,black
43,72,black,16,white,45,black,53,white,15,black
44,62,black,35,white,78,black,62,white,62,black
45,43,black,38,white,9,black,34,white,30,black
46,28,black,60,white,59,black,9,white,26,black
47,46,black,66,white,14,black,73,white,56,black
48,13,black,69,white,57,black,61,white,55,black
49,77,black,79,white,3,black,27,white,32,black
50,49,black,54,white,22,black,7,white,61,black
51,45,black,78,white,40,black,70,white,17,black
52,58,black,3,white,42,black,41,white,63,black
53,81,black,81,white,17,black,17,white,33,black
54,1,black,33,white,12,black,4,white,37,black
55,56,black,69,white,4,black,78,white,27,black
56,60,black,48,white,1,black,15,white,77,black
57,28,black,12,white,8,black,3,white,2,black
58,80,black,16,white,80,black,24,white,41,black
59,79,black,42,white,74,black,53,white,45,black
60,51,black,76,white,72,black,80,white,72,black
61,59,black,34,white,36,black,65,white,37,black
62,46,black,36,white,15,black,48,white,13,black
63,45,black,48,white,8,black,42,white,18,black
64,27,black,15,white,13,black,1,white,53,black
65,10,black,8,white,73,black,16,white,9,black
66,33,black,2,white,16,black,8,white,38,black
67,62,black,79,white,44,black,51,white,81,black
68,18,black,26,white,37,black,59,white,58,black
69,25,black,2,white,23,black,10,white,64,black
